tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
Tommy-Tag,Tommy,Felis catus,2017-06-03 01:02:09.000,2017-06-10 02:10:52.000,Hunt: Yes; prey_p_month: 12.5,11 years,Neutered,m,collar,@Trip PC,removal,Tommy,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Athena,Athena,Felis catus,2017-06-24 01:02:13.000,2017-06-30 23:59:32.000,Hunt: Yes; prey_p_month: 3,3 years,Spayed,f,collar,@Trip PC,removal,Athena,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Ares,Ares,Felis catus,2017-06-24 01:03:57.000,2017-06-30 23:58:01.000,Hunt: Unsure; prey_p_month: 0,3 years,Neutered,m,collar,@Trip PC,removal,Ares,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Lola,Lola,Felis catus,2017-06-24 01:18:49.000,2017-06-30 09:04:40.000,Hunt: Yes; prey_p_month: 3,10 years,Spayed,f,collar,@Trip PC,removal,Lola,3-min fixes,"hrs_indoors: 17.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Maverick,Maverick,Felis catus,2017-06-25 01:04:35.000,2017-07-03 09:10:07.000,Hunt: Yes; prey_p_month: 3,7 years,Neutered,m,collar,@Trip PC,removal,Maverick,3-min fixes,"hrs_indoors: 12.5; n_cats: 1; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Coco,Coco,Felis catus,2017-06-28 01:02:22.000,2017-07-05 06:50:04.000,Hunt: Yes; prey_p_month: 3,7 years,Spayed,f,collar,@Trip PC,removal,Coco,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Charlie,Charlie,Felis catus,2017-06-28 01:03:33.000,2017-07-04 07:08:31.000,Hunt: Yes; prey_p_month: 3,6 years,Neutered,m,collar,@Trip PC,removal,Charlie,3-min fixes,"hrs_indoors: 12.5; n_cats: 3; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Jago,Jago,Felis catus,2017-06-28 04:10:59.000,2017-07-04 02:50:05.000,Hunt: Yes; prey_p_month: 17.5,2 years,Neutered,m,collar,@Trip PC,removal,Jago,3-min fixes,"hrs_indoors: 7.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Morpheus-Tag,Morpheus,Felis catus,2017-07-01 01:02:18.000,2017-07-09 06:39:05.000,Hunt: Yes; prey_p_month: 3,4 years,Neutered,m,collar,@Trip PC,removal,Morpheus,3-min fixes,"hrs_indoors: 2.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Nettle-Tag,Nettle,Felis catus,2017-07-01 01:05:50.000,2017-07-08 00:05:12.000,Hunt: Yes; prey_p_month: 7.5,4 years,Spayed,f,collar,@Trip PC,removal,Nettle,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other-",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
